,Proxy address,Proxy type,Uptime
0,45.67.201.4:80,http,100
4,43.250.107.91:80,http,76
5,5.167.141.239:3128,https,22
7,89.107.197.165:3128,https,20
9,102.45.15.176:8080,http,38
11,13.95.107.107:80,https,71
14,41.33.219.141:8080,http,22
15,217.30.173.108:8080,http,28
16,136.175.177.213:80,http,100
21,80.179.140.189:80,http,64
22,148.251.45.123:3128,https,40
23,84.214.150.146:8080,http,23
27,103.86.187.242:23500,http,25
28,188.235.0.207:8282,http,38
29,197.243.14.90:8888,http,85
30,102.68.128.217:8080,http,21
31,157.100.26.69:80,http,45
34,80.252.5.34:7001,http,20
36,208.113.134.223:80,http,85
37,45.9.231.150:3128,http,40
39,62.205.169.74:53281,https,20
40,192.154.192.193:8000,http,50
41,20.110.214.83:80,http,92
42,67.212.186.101:80,http,33
43,5.183.102.169:80,http,82
44,192.162.193.243:36910,http,25
46,91.108.140.44:8080,http,33
47,115.241.153.228:80,http,100
48,143.244.132.11:80,http,24
49,52.188.106.163:3128,http,97
51,174.108.220.122:8080,http,27
54,195.80.49.235:80,http,100
55,152.26.193.40:10180,http,50
56,43.255.113.232:86,http,33
59,167.235.63.238:3128,https,37
71,209.166.175.201:3128,http,78
72,103.152.112.131:80,http,100
74,20.57.152.130:80,http,20
76,182.52.103.214:9898,http,29
77,67.212.186.102:80,http,34
78,171.97.54.29:55443,http,29
81,201.217.49.2:80,http,27
84,38.108.119.176:59394,http,42
85,43.255.113.232:8082,http,30
87,169.62.126.170:8081,http,35
91,35.204.136.129:80,http,25
92,87.231.108.158:80,http,23
94,3.9.8.181:80,http,29
102,138.2.152.0:3128,http,25
103,185.91.116.156:80,http,23
104,185.51.10.19:80,http,30
106,143.198.182.218:80,http,42
109,91.121.88.53:80,http,62
110,134.122.58.174:80,http,23
121,51.159.24.172:3167,http,28
122,162.215.22.165:59394,http,50
124,79.142.95.90:55443,http,21
130,14.177.236.212:55443,http,20
133,89.179.102.178:8000,http,20
135,67.212.186.100:80,http,28
137,200.105.215.18:33630,http,34
138,195.80.49.232:80,http,100
144,91.224.58.55:3128,http,36
146,176.101.89.226:33470,http,24
149,93.63.78.7:3128,http,38
151,181.113.135.254:52058,http,29
152,5.22.208.41:80,http,63
153,51.91.62.219:80,http,24
154,47.241.245.186:80,http,52
159,154.13.5.42:59394,http,50
160,198.211.28.9:59394,http,29
161,146.59.83.187:80,http,38
169,195.80.49.231:80,http,82
170,198.211.28.22:59394,http,50
173,51.91.109.83:80,http,24
175,162.0.226.218:80,http,25
176,200.110.168.159:8080,http,58
177,36.95.116.9:9812,http,25
185,195.211.180.156:3128,http,32
186,154.236.189.27:8080,http,28
213,190.128.238.142:8082,http,28
215,138.197.102.119:80,http,32
222,45.201.190.125:9898,http,22
244,168.119.170.87:33055,http,20
249,67.212.186.99:80,http,30
256,195.158.30.232:3128,http,39
268,121.139.218.165:31409,http,20
272,170.178.214.108:59394,http,20
274,162.215.22.199:59394,http,33
276,95.165.187.202:45396,https,21
283,41.222.209.9:808,https,43
290,107.167.6.103:59394,http,20
293,107.167.6.106:59394,http,33
294,108.187.44.120:3129,http,33
299,43.255.113.232:8080,http,40
303,196.1.95.117:80,http,20
310,80.235.9.243:3128,http,27
311,216.48.177.127:80,http,20
317,164.92.215.166:8080,http,66
322,85.70.210.30:80,http,39
324,15.207.236.146:80,http,22
326,62.92.133.204:81,http,31
327,154.236.177.100:1981,http,20
336,195.135.242.141:8081,http,28
338,43.255.113.232:82,http,35
348,45.32.245.26:80,http,50
349,74.208.177.198:80,http,27
350,43.255.113.232:8081,http,36
367,70.184.195.197:80,http,38
368,151.106.18.124:1080,http,50
369,118.70.12.171:53281,http,20
370,66.196.238.179:3128,http,22
373,177.104.127.122:3130,http,33
375,103.179.252.14:8181,http,50
376,136.226.33.104:80,https,25
379,136.226.33.108:80,https,50
380,70.184.195.198:80,http,48
381,66.196.238.178:3128,http,24
386,41.164.68.194:8080,http,21
387,136.226.33.107:80,https,100
394,50.233.42.98:51696,http,24
396,159.223.100.21:80,http,25
397,136.226.32.235:80,https,50
398,159.223.100.21:8080,http,57
400,213.230.109.201:1500,http,53
404,154.30.185.39:3129,http,25
406,136.226.32.243:80,https,25
410,162.215.22.132:59394,http,43
412,154.236.184.80:1981,http,23
417,197.248.184.158:53281,http,22
423,201.238.248.134:443,http,20
425,160.202.125.211:59394,http,24
427,213.230.108.104:1500,http,54
428,38.108.119.43:59394,http,53
430,160.202.100.123:59394,http,21
436,34.75.123.131:80,http,26
438,43.255.113.232:84,http,22
439,136.226.32.237:80,https,50
457,108.187.44.192:3129,http,33
465,45.131.251.233:3129,http,50
472,160.202.92.100:59394,http,20
474,108.187.44.47:3129,http,25
476,31.3.15.82:3128,http,25
484,125.209.116.78:8080,https,20
486,160.16.142.244:3128,https,25
487,189.164.118.26:3128,http,20
488,154.31.224.17:80,http,64
